icon_size,type,name,latitude,longitude,special,address,special_1,special_2
medium,heliport,Sundre (Hospital & Health Care Centre) Heliport,51.8071653,-114.6365404,Elevation: 3589 ft.,Sundre,,CSD2
medium,heliport,Taber (Health Centre) Heliport,49.78559875,-112.1660004,Elevation: 2669 ft.,Taber,,CTB7
medium,heliport,Three Hills (Hospital) Heliport,51.70880243,-113.2520163,Elevation: 3000 ft.,Three Hills,,CFA8
medium,heliport,Vegreville (St. Joseph's General Hospital) Heliport,53.4939003,-112.0329971,Elevation: 2079 ft.,Vegreville,,CVG8
medium,heliport,Vermilion Health Centre Heliport,53.35580063,-110.8720016,Elevation: 2011 ft.,Vermilion,,CVH2
medium,heliport,Vulcan (Hospital) Heliport,50.39579107,-113.2595587,Elevation: 3451 ft.,Vulcan,,CVH7
medium,heliport,Wainwright (Health Centre) Heliport,52.84297853,-110.8647349,Elevation: 2262 ft.,Wainwright,,CWH2
medium,heliport,Wetaskiwin (Hospital & Care Centre) Heliport,52.98843413,-113.3680701,Elevation: 2494 ft.,Wetaskiwin,,CWC4
medium,heliport,Lacombe (Mustang Helicopters),52.37888718,-113.8225021,Elevation: 2889 ft.,,,CMH3
medium,heliport,Redwater (Heliworks),53.91925243,-113.104248,Elevation: 2200 ft.,,,CRW2
medium,heliport,Edmonton / Kelsonae Heliport,53.3666101,-113.837505,Elevation: 2325 ft.,,,CSG6
medium,heliport,Edmonton / Sturgeon Community Hospital Heliport,53.65457807,-113.6273606,Elevation: 2251 ft.,,,CSA3
medium,heliport,Anzac (long Lake) Heliport,56.42432195,-110.964489,Elevation: 1612 ft.,,,CNZ2
medium,heliport,Alhambra / Ahlstrom Heliport,52.34623992,-114.6708834,Elevation: 3212 ft.,,,CA-0445
medium,heliport,Viking Health Centre Helipad,53.10045339,-111.7765975,Elevation: 2240 ft.,,,CVK2
medium,heliport,Two Hills (Health Centre) Heliport,53.71361874,-111.7308712,Elevation: 2075 ft.,,,CA-0513
medium,heliport,Hespero / Safron Residence Heliport,52.28044172,-114.4278002,Elevation: 3192 ft.,,,CTS6
medium,heliport,Leslieville / W. Pidhirney Residence Heliport,52.35927414,-114.5713466,Elevation: 3130 ft.,,,cwp3
medium,heliport,Calgary (Aerial Recon) Heliport,50.868,-114.138,Elevation: 3820 ft.,,,CA-0522
medium,heliport,Calgary / Blue-Con Heliport,50.99696384,-113.893889,Elevation: 3440 ft.,Calgary,,CBC6
medium,heliport,Calgary (Peter Lougheed Centre) Heliport,51.07819559,-113.98633,Elevation: 3562 ft.,Calgary,,CLC3
medium,heliport,Calgary (Alberta Children's Hospital),51.07582625,-114.1477078,Elevation: 3670 ft.,Calgary,,CAC6
medium,heliport,Calgary (Eastlake) Heliport,50.95501131,-113.9728667,Elevation: 3418 ft.,Calgary,,CEL9
medium,heliport,Fort Macleod (Hospital) Heliport,49.72576576,-113.3921778,Elevation: 3095 ft.,Fort Macleod,,CFM9
medium,heliport,Edmonton / Leduc,53.25317246,-113.5425988,Elevation: 2411 ft.,Leduc,,CLD2
medium,heliport,Nordegg / Ahlstrom Heliport,52.4893136,-116.0795689,Elevation: 4411 ft.,Nordegg,,ceg6
