icon_size,name,latitude,longitude,address,special,special_1,special_2
,Airdrie Emergency Services,,,,,,
,Athabasca Volunteer Fire Department,,,,,,
,Banff Volunteer Fire Department,,,,,,
,Barrhead County Protective Services,,,,,,
,Beaumont Volunteer Fire Department,,,,,,
,Beaverlodge Volunteer Fire Department,,,,,,
,Big Lakes Municipal District Fire Protection Services,,,,,,
,Bighorn MD Emergency Services,,,,,,
,Blackfalds Volunteer Fire Department,,,,,,
,Bonnyville Regional Fire Authority,,,,,,
,Bowden Volunteer Fire Department,,,,,,
,Brazeau County Emergency Services,,,,,,
,Brooks Fire Department,,,,,,
,Bruderheim Fire Department,,,,,,
,Calgary EMS,,,,,,
,Calgary Fire Department,,,,,,
,Camrose Fire Department,,,,,,
,Canmore Fire - EMS,,,,,,
,Cardston County Emergency Services,,,,,,
,Carstairs Fire Volunteer Department,,,,,,
,Clearwater County Emergency Services,,,,,,
,Coaldale and District Emergency Services,,,,,,
,Coalhurst Fire Department,,,,,,
,Cochrane Fire/EMS Department (Unofficial),,,,,,
,Cochrane Search and Rescue,,,,,,
,Cremona Emergency Services,,,,,,
,Crowsnest Pass Municipality Fire Protection Services,,,,,,
,Cypress County Fire/ Rescue,,,,,,
,Devon Volunteer Fire Department,,,,,,
,Didsbury Emergency Services,,,,,,
,Drayton Valley Fire Dept.,,,,,,
,Drumheller Fire Department,,,,,,
,Edmonton Combat Challenge Team,,,,,,
,Edmonton Emergency Services,,,,,,
,Edson Volunteer Fire Department,,,,,,
,Foothills Regional EMS,,,,,,
,Fort McMurray Fire Department,,,,,,
,Fort Saskatchewan Fire Department,,,,,,
,Forty Mile County Protective Services,,,,,,
,Gibbons Fire Rescue,,,,,,
,Goose Lake Fire Department,,,,,,
,Grande Cache Emergency Medical Services,,,,,,
,Grande Prairie Fire Department,,,,,,
,Granum Fire Department,,,,,,
,Hanna Volunteer Fire Department,,,,,,
,High Prairie Volunteer Fire Department,,,,,,
,High River Fire Department,,,,,,
,Hinton EMS,,,,,,
,Hinton Fire Department,,,,,,
,Jasper Volunteer Fire Brigade,,,,,,
,Lac Ste Anne County Fire Guardians,,,,,,
,Lacombe Regional Fire Services,,,,,,
,Lakeland County volunteer fire departments,,,,,,
,Lamont County Emergency Services,,,,,,
,Leduc County Fire Services,,,,,,
,Leduc Protective Services,,,,,,
,Legal Fire Department and Ambulance Service,,,,,,
,Lesser Slave Regional Fire Service,,,,,,
,Lethbridge County protective services,,,,,,
,Lethbridge Fire and Emergency Services,,,,,,
,Mackenzie Regional Emergency Services,,,,,,
,Magrath Fire Department,,,,,,
,Medicine Hat Emergency Services,,,,,,
,Mid River Fire & Rescue,,,,,,
,Millet Volunteer Fire Department,,,,,,
,Morinville Firefighters Association,,,,,,
,Nanton Fire Department,,,,,,
,Newell County Fire Protection,,,,,,
,Northern Lights M.D. Fire Departments,,,,,,
,Okotoks Fire Department,,,,,,
,Olds Emergency Services,,,,,,
,Parkland Ambulance Authority,,,,,,
,Parkland County Fire/Disaster Services,,,,,,
,Peace River Fire Department,,,,,,
,Picture Butte Volunteer Fire Department,,,,,,
,Pincher Creek M.D. Emergency Services,,,,,,
,Ponoka Fire Department,,,,,,
,Red Deer County Fire Department,,,,,,
,Red Deer Emergency Services,,,,,,
,Redwood Meadows Emergency Services,,,,,,
,Rimbey Protective Services,,,,,,
,Rocky Mountain House Volunteer Fire Department,,,,,,
,Rocky View Emergency Services,,,,,,
,Saddle Hills County Emergency Services,,,,,,
,Safety Boss Inc. (Calgary),,,,,,
,Sexsmith Fire Department,,,,,,
,Slave Lake Fire Department,,,,,,
,Smoky River Fire & Rescue,,,,,,
,Spruce Grove Fire Services,,,,,,
,St. Albert Fire Department,,,,,,
,Stony Plain Volunteer Fire Department,,,,,,
,Strathcona County Emergency Services,,,,,,
,Strathmore Rural Fire Department,,,,,,
,Sundre Volunteer Fire Department,,,,,,
,Sylvan Lake Fire Department,,,,,,
,Taber Emergency Services,,,,,,
,Turner Valley Fire / Rescue,,,,,,
,Turner Valley Fire Department,,,,,,
,Vegreville Fire Department,,,,,,
,Vermilion Fire and Rescue,,,,,,
,Wabamun Ptotection Services,,,,,,
,Wainwright Fire & Rescue Department,,,,,,
,"Western Area Training Centre (Wainwright, Alberta)",,,,,,
,Wetaskiwin County Fire Services,,,,,,
,Wetaskiwin Fire Services,,,,,,
,Whitecourt Volunteer Fire Department,,,,,,
,Woodlands County Fire Protection and Emergency Services,,,,,,
,Yellowhead County Emergency Services,,,,,,
